Node1,Node2,Weight
0,1,0.4306
0,19,0.297
0,18,0.5107
0,13,0.7713
0,11,0.6428
1,3,0.3509
1,10,0.6346
1,17,0.6771
1,4,0.4232
1,9,0.6307
2,3,0.6116
2,4,0.3714
3,5,0.6716
3,10,0.7122
3,9,0.8166
4,12,0.8108
4,5,0.3245
5,6,0.4124
5,10,0.703
6,7,0.7028
6,8,0.703
7,8,1.0
7,13,0.7142
7,14,0.8271
8,9,0.7908
8,10,0.7303
8,17,0.5369
10,11,0.7518
11,18,0.4454
12,13,0.5526
12,14,0.5029
12,19,0.6164
13,15,1.0
13,14,0.2265
14,16,0.7373
15,16,0.2775
15,17,0.5056
16,17,0.8178
16,18,0.6129
18,19,0.3845
