Node1,Node2,Weight
0,1,0.8326
0,29,0.602
0,28,0.4037
0,14,0.6924
1,2,0.6398
1,3,0.48
2,3,0.614
2,4,0.5229
2,21,0.6227
3,4,0.7324
3,5,0.9172
4,5,0.3524
4,6,1.0
4,8,0.2096
5,6,0.5696
5,7,0.7177
6,7,0.6562
6,8,0.4755
6,28,0.5584
6,17,0.5014
7,8,0.4821
7,9,0.7699
7,22,0.6714
8,9,0.4614
8,25,0.7799
8,18,0.6615
8,29,0.7626
9,10,0.7259
9,22,0.4342
10,11,0.488
10,12,0.7495
11,28,0.7221
11,19,0.5958
12,14,0.6235
12,27,0.8555
13,14,0.4817
13,15,0.7094
13,20,0.5596
13,23,0.5565
14,15,0.8198
14,16,0.7651
14,24,0.7627
14,26,0.8611
15,16,0.6042
15,17,0.7364
16,17,0.5379
16,18,0.6648
17,18,0.574
18,19,0.6194
19,20,0.719
19,21,0.4364
20,22,1.0
20,26,0.3988
21,23,0.3572
22,23,0.8316
23,24,0.7583
24,26,0.7248
25,27,0.7257
27,28,0.5976
27,29,0.4205
