Node1,Node2,Weight
0,29,0.8326
0,2,0.602
0,8,0.4037
0,24,0.6924
0,27,0.6398
1,3,0.48
1,29,0.614
1,23,0.5229
2,3,0.6227
2,4,0.7324
2,15,0.9172
3,4,0.3524
3,5,1.0
4,5,0.2096
4,19,0.5696
5,6,0.7177
5,7,0.6562
6,9,0.4755
6,27,0.5584
6,18,0.5014
7,8,0.4821
7,9,0.7699
7,11,0.6714
7,25,0.4614
8,9,0.7799
8,10,0.6615
8,19,0.7626
8,24,0.7259
9,10,0.4342
9,11,0.488
10,12,0.7495
10,23,0.7221
10,22,0.5958
11,12,0.6235
12,13,0.8555
12,14,0.4817
12,27,0.7094
13,14,0.5596
13,15,0.5565
14,15,0.8198
14,16,0.7651
15,17,0.7627
16,24,0.8611
16,17,0.6042
17,26,0.7364
17,20,0.5379
18,25,0.6648
19,23,0.574
20,21,0.6194
20,23,0.719
20,26,0.4364
20,28,1.0
21,22,0.3988
21,28,0.3572
22,23,0.8316
23,24,0.7583
23,26,0.7248
25,26,0.7257
26,27,0.5976
28,29,0.4205
