Node1,Node2,Weight
0,1,0.4306
0,19,0.297
0,2,0.5107
0,18,0.7713
0,13,0.6428
1,2,0.3509
1,3,0.6346
1,19,0.6771
2,3,0.4232
2,10,0.6307
3,4,0.6116
3,5,0.3714
4,5,0.6716
4,6,0.7122
4,9,0.8166
5,6,0.8108
5,7,0.3245
6,7,0.4124
6,8,0.703
7,8,0.7028
7,15,0.703
7,9,1.0
8,9,0.7142
8,10,0.8271
8,13,0.7908
10,11,0.7303
10,12,0.5369
11,12,0.7518
11,14,0.4454
12,13,0.5526
12,14,0.5029
13,14,0.6164
14,16,1.0
15,16,0.2265
15,17,0.7373
16,17,0.2775
16,18,0.5056
17,18,0.8178
17,19,0.6129
18,19,0.3845
