Node1,Node2,Weight
0,1,0.7715
0,2,0.568
0,38,0.5962
0,36,0.3995
1,2,0.5963
1,3,0.5423
1,39,0.6645
2,4,0.4346
2,18,0.7039
2,25,0.9065
3,4,0.5782
3,18,0.6803
4,5,0.738
4,6,0.5198
4,21,0.6448
4,27,0.6025
5,7,0.6195
5,16,0.4454
5,9,0.6049
6,7,0.6996
6,8,0.8902
7,8,0.7919
7,9,1.0
8,10,0.4465
8,39,0.7745
8,13,0.6367
9,11,1.0
9,26,0.4383
10,11,0.4321
10,12,0.4801
11,12,0.1752
11,37,0.4948
12,13,0.4482
12,33,0.6301
12,36,0.6684
13,15,0.9752
13,24,0.7901
14,15,0.4846
14,16,0.4203
14,18,0.6984
15,17,0.336
15,18,0.9663
16,17,0.8359
16,18,0.5062
17,18,0.2574
17,19,0.8708
18,19,0.5771
19,20,0.8476
19,21,0.2811
20,21,0.4801
20,22,0.601
21,23,0.6094
22,23,0.51
22,24,0.7246
22,31,0.3865
23,24,0.5715
23,25,0.6241
24,25,0.7029
25,28,0.7423
25,37,0.3751
25,29,0.2932
26,28,0.8555
26,38,0.6665
27,28,0.4503
28,29,0.9102
28,34,0.6231
29,30,0.8359
29,32,0.6135
30,31,1.0
30,32,0.9511
31,33,0.5502
32,34,0.7943
33,34,0.7291
33,35,0.8737
33,39,0.407
34,35,0.7372
34,36,0.8117
35,36,0.2483
35,37,0.3633
37,39,0.1922
