Node1,Node2,Weight
0,1,0.8326
0,29,0.602
0,2,0.4037
0,28,0.6924
0,14,0.6398
0,20,0.48
1,2,0.614
1,3,0.5229
2,4,0.6227
2,15,0.7324
2,18,0.9172
3,4,0.3524
3,5,1.0
3,7,0.2096
4,6,0.5696
4,27,0.7177
4,11,0.6562
5,6,0.4755
5,11,0.5584
6,7,0.5014
6,19,0.4821
7,8,0.7699
8,9,0.6714
8,26,0.4614
8,24,0.7799
9,10,0.6615
9,27,0.7626
10,11,0.7259
10,12,0.4342
11,13,0.488
11,20,0.7495
11,17,0.7221
12,13,0.5958
12,14,0.6235
13,14,0.8555
13,15,0.4817
13,16,0.7094
14,15,0.5596
14,19,0.5565
14,21,0.8198
15,16,0.7651
15,17,0.7627
15,23,0.8611
16,17,0.6042
17,18,0.7364
18,21,0.5379
18,25,0.6648
19,20,0.574
21,22,0.6194
22,23,0.719
22,24,0.4364
22,29,1.0
23,24,0.3988
24,25,0.3572
24,26,0.8316
25,27,0.7583
26,28,0.7248
27,28,0.7257
27,29,0.5976
28,29,0.4205
