Node1,Node2,Weight
0,1,0.8326
0,29,0.602
0,2,0.4037
0,12,0.6924
0,19,0.6398
1,2,0.48
1,3,0.614
1,29,0.5229
1,10,0.6227
1,23,0.7324
2,3,0.9172
2,12,0.3524
3,4,1.0
3,5,0.2096
3,15,0.5696
4,6,0.7177
4,21,0.6562
4,19,0.4755
4,12,0.5584
5,6,0.5014
5,19,0.4821
6,7,0.7699
6,8,0.6714
7,8,0.4614
7,23,0.7799
8,9,0.6615
8,25,0.7626
8,28,0.7259
9,10,0.4342
9,11,0.488
10,21,0.7495
10,28,0.7221
11,13,0.5958
11,17,0.6235
13,14,0.8555
13,17,0.4817
14,15,0.7094
14,16,0.5596
15,16,0.5565
16,17,0.8198
16,23,0.7651
17,18,0.7627
17,19,0.8611
18,19,0.6042
18,20,0.7364
20,21,0.5379
20,22,0.6648
21,22,0.574
21,23,0.6194
21,24,0.719
22,24,0.4364
22,29,1.0
23,25,0.3988
24,26,0.3572
25,27,0.8316
26,27,0.7583
26,28,0.7248
27,28,0.7257
27,29,0.5976
28,29,0.4205
