Node1,Node2,Weight
0,19,0.4306
0,2,0.297
0,18,0.5107
0,4,0.7713
0,11,0.6428
1,2,0.3509
1,19,0.6346
1,12,0.6771
2,3,0.4232
2,4,0.6307
3,5,0.6116
3,8,0.3714
3,9,0.6716
3,14,0.7122
4,6,0.8166
4,13,0.8108
5,11,0.3245
5,14,0.4124
5,12,0.703
6,7,0.7028
6,11,0.703
7,8,1.0
7,9,0.7142
8,9,0.8271
8,16,0.7908
8,15,0.7303
9,11,0.5369
9,15,0.7518
10,11,0.4454
10,12,0.5526
11,13,0.5029
12,13,0.6164
12,14,1.0
13,14,0.2265
13,15,0.7373
15,16,0.2775
16,18,0.5056
17,18,0.8178
17,19,0.6129
18,19,0.3845
