Node1,Node2,Weight
0,1,0.512
0,2,0.6261
1,2,0.8883
1,3,0.3128
1,29,0.8326
1,18,0.602
1,24,0.4037
2,3,0.6924
2,4,0.6398
2,24,0.48
3,5,0.614
3,13,0.5229
4,5,0.6227
4,6,0.7324
4,20,0.9172
5,6,0.3524
5,9,1.0
5,17,0.2096
6,7,0.5696
6,8,0.7177
6,15,0.6562
6,27,0.4755
7,8,0.5584
7,9,0.5014
8,9,0.4821
8,10,0.7699
9,10,0.6714
9,11,0.4614
9,14,0.7799
10,11,0.6615
10,12,0.7626
11,13,0.7259
11,22,0.4342
11,15,0.488
12,13,0.7495
12,14,0.7221
13,14,0.5958
13,26,0.6235
13,28,0.8555
14,15,0.4817
15,29,0.7094
16,17,0.5596
16,18,0.5565
17,18,0.8198
18,19,0.7651
18,21,0.7627
19,20,0.8611
19,21,0.6042
20,21,0.7364
21,23,0.5379
22,23,0.6648
22,24,0.574
23,24,0.6194
23,25,0.719
25,26,0.4364
25,27,1.0
26,27,0.3988
26,28,0.3572
27,28,0.8316
28,29,0.7583
