Node1,Node2,Weight
0,29,0.8326
0,28,0.602
0,4,0.4037
0,26,0.6924
1,2,0.6398
1,29,0.48
1,28,0.614
2,3,0.5229
2,4,0.6227
2,18,0.7324
3,15,0.9172
3,26,0.3524
4,5,1.0
4,27,0.2096
4,23,0.5696
5,7,0.7177
5,15,0.6562
6,7,0.4755
6,11,0.5584
7,8,0.5014
7,9,0.4821
8,9,0.7699
8,10,0.6714
9,10,0.4614
9,13,0.7799
9,12,0.6615
10,11,0.7626
10,12,0.7259
11,12,0.4342
11,13,0.488
12,28,0.7495
13,14,0.7221
13,15,0.5958
14,16,0.6235
14,20,0.8555
15,16,0.4817
15,18,0.7094
16,17,0.5596
16,18,0.5565
17,18,0.8198
17,19,0.7651
18,19,0.7627
19,20,0.8611
19,21,0.6042
20,21,0.7364
20,22,0.5379
20,26,0.6648
21,22,0.574
21,23,0.6194
22,23,0.719
22,24,0.4364
23,24,1.0
23,25,0.3988
24,25,0.3572
24,26,0.8316
25,26,0.7583
25,27,0.7248
26,28,0.7257
27,29,0.5976
28,29,0.4205
