Node1,Node2,Weight
0,1,0.8326
0,29,0.602
0,2,0.4037
0,20,0.6924
1,29,0.6398
1,8,0.48
1,23,0.614
2,7,0.5229
2,28,0.6227
2,3,0.7324
3,4,0.9172
4,5,0.3524
4,6,1.0
4,28,0.2096
5,6,0.5696
5,7,0.7177
5,25,0.6562
6,7,0.4755
6,8,0.5584
7,8,0.5014
7,9,0.4821
7,12,0.7699
7,23,0.6714
8,9,0.4614
8,28,0.7799
9,10,0.6615
9,11,0.7626
9,12,0.7259
10,11,0.4342
10,12,0.488
10,25,0.7495
11,12,0.7221
11,13,0.5958
11,17,0.6235
13,14,0.8555
13,15,0.4817
13,18,0.7094
14,15,0.5596
14,16,0.5565
14,19,0.8198
15,16,0.7651
15,17,0.7627
15,27,0.8611
16,17,0.6042
16,18,0.7364
17,18,0.5379
18,20,0.6648
19,21,0.574
20,21,0.6194
21,22,0.719
21,23,0.4364
22,23,1.0
22,29,0.3988
23,25,0.3572
24,25,0.8316
24,26,0.7583
26,27,0.7248
26,28,0.7257
27,28,0.5976
28,29,0.4205
