Node1,Node2,Weight
0,29,0.8326
0,2,0.602
0,12,0.4037
0,10,0.6924
1,2,0.6398
1,3,0.48
1,29,0.614
2,3,0.5229
2,4,0.6227
2,14,0.7324
3,4,0.9172
3,5,0.3524
3,15,1.0
4,5,0.2096
4,6,0.5696
5,6,0.7177
5,7,0.6562
6,7,0.4755
6,8,0.5584
7,8,0.5014
7,9,0.4821
8,9,0.7699
8,10,0.6714
9,10,0.4614
9,11,0.7799
10,19,0.6615
10,26,0.7626
11,14,0.7259
11,20,0.4342
12,14,0.488
12,19,0.7495
13,14,0.7221
13,15,0.5958
13,27,0.6235
14,20,0.8555
15,21,0.4817
15,24,0.7094
16,17,0.5596
16,18,0.5565
16,25,0.8198
17,18,0.7651
17,19,0.7627
17,28,0.8611
18,20,0.6042
18,25,0.7364
19,21,0.5379
20,21,0.6648
20,22,0.574
21,22,0.6194
21,23,0.719
22,23,0.4364
22,24,1.0
23,24,0.3988
23,28,0.3572
24,25,0.8316
25,27,0.7583
26,27,0.7248
26,28,0.7257
27,28,0.5976
28,29,0.4205
