Node1,Node2,Weight
0,28,0.8326
0,22,0.602
0,17,0.4037
1,2,0.6924
1,29,0.6398
1,14,0.48
1,6,0.614
2,4,0.5229
2,9,0.6227
3,5,0.7324
3,9,0.9172
3,6,0.3524
4,5,1.0
4,6,0.2096
5,6,0.5696
5,29,0.7177
5,12,0.6562
7,8,0.4755
7,9,0.5584
7,12,0.5014
8,9,0.4821
8,15,0.7699
8,22,0.6714
8,28,0.4614
9,10,0.7799
9,11,0.6615
10,12,0.7626
10,14,0.7259
11,12,0.4342
11,13,0.488
13,14,0.7495
13,15,0.7221
14,15,0.5958
14,29,0.6235
14,26,0.8555
14,18,0.4817
14,25,0.7094
15,17,0.5596
16,17,0.5565
16,18,0.8198
17,18,0.7651
17,19,0.7627
18,19,0.8611
18,22,0.6042
19,20,0.7364
19,21,0.5379
19,25,0.6648
20,22,0.574
20,27,0.6194
21,23,0.719
21,28,0.4364
23,24,1.0
23,25,0.3988
24,25,0.3572
24,26,0.8316
26,27,0.7583
26,28,0.7248
27,28,0.7257
27,29,0.5976
28,29,0.4205
