Node1,Node2,Weight
0,2,0.8326
0,28,0.602
0,12,0.4037
1,2,0.6924
1,3,0.6398
1,29,0.48
1,16,0.614
2,3,0.5229
2,4,0.6227
3,4,0.7324
3,5,0.9172
4,5,0.3524
4,11,1.0
4,18,0.2096
5,6,0.5696
5,7,0.7177
5,24,0.6562
6,7,0.4755
6,8,0.5584
7,8,0.5014
7,15,0.4821
8,9,0.7699
8,10,0.6714
9,11,0.4614
9,28,0.7799
9,29,0.6615
9,10,0.7626
10,11,0.7259
11,12,0.4342
11,22,0.488
11,17,0.7495
12,13,0.7221
12,14,0.5958
13,14,0.6235
13,15,0.8555
14,15,0.4817
14,16,0.7094
14,22,0.5596
14,23,0.5565
15,16,0.8198
15,17,0.7651
16,17,0.7627
17,18,0.8611
18,19,0.6042
19,21,0.7364
19,22,0.5379
20,21,0.6648
20,22,0.574
21,22,0.6194
21,23,0.719
21,25,0.4364
22,24,1.0
23,25,0.3988
24,26,0.3572
25,26,0.8316
26,27,0.7583
26,28,0.7248
27,28,0.7257
27,29,0.5976
28,29,0.4205
