Node1,Node2,Weight
0,1,1.0
0,18,0.2265
0,9,0.7373
1,3,0.2775
1,19,0.5056
1,12,0.8178
1,11,0.6129
1,16,0.3845
1,7,0.4569
2,3,0.7359
2,8,0.4539
3,4,0.6433
3,5,0.6091
4,5,0.4697
4,6,1.0
4,16,0.7268
4,17,0.195
5,6,0.6373
5,7,0.4676
6,8,0.7705
6,19,0.4415
7,8,0.5771
7,15,0.701
7,18,0.7732
8,9,0.3599
8,10,0.5331
8,17,0.505
9,10,0.4693
9,11,0.9531
10,11,0.681
10,19,0.3478
11,13,0.7836
11,17,1.0
12,13,0.8065
12,14,0.2961
13,14,0.5032
13,15,0.8534
14,15,0.4585
14,16,0.6888
14,19,0.7549
15,16,0.4146
15,17,0.5881
16,17,0.0
17,18,0.3951
18,19,0.5495
