Node1,Node2,Weight
0,1,0.7251
0,18,0.4286
0,9,0.3858
1,3,0.6965
1,19,0.5553
1,12,0.7428
1,11,0.6946
1,16,0.5854
1,7,0.4306
2,3,0.297
2,8,0.5107
3,4,0.7713
3,5,0.6428
4,5,0.3509
4,6,0.6346
4,16,0.6771
4,17,0.4232
5,6,0.6307
5,7,0.6116
6,8,0.3714
6,19,0.6716
7,8,0.7122
8,9,0.8166
8,10,0.8108
8,17,0.3245
9,10,0.4124
9,11,0.703
10,11,0.7028
10,19,0.703
11,13,1.0
12,13,0.7142
12,14,0.8271
13,14,0.7908
13,15,0.7303
14,15,0.5369
14,16,0.7518
14,19,0.4454
15,16,0.5526
15,17,0.5029
18,19,0.6164
