Node1,Node2,Weight
0,1,0.8326
0,29,0.602
0,2,0.4037
0,28,0.6924
0,16,0.6398
1,2,0.48
1,3,0.614
2,4,0.5229
2,9,0.6227
3,4,0.7324
3,10,0.9172
3,8,0.3524
4,6,1.0
4,23,0.2096
5,6,0.5696
5,7,0.7177
5,14,0.6562
6,7,0.4755
6,8,0.5584
7,8,0.5014
7,9,0.4821
8,9,0.7699
8,10,0.6714
9,10,0.4614
9,24,0.7799
10,12,0.6615
11,12,0.7626
11,28,0.7259
12,13,0.4342
12,14,0.488
12,17,0.7495
13,14,0.7221
13,15,0.5958
14,22,0.6235
15,16,0.8555
15,17,0.4817
16,18,0.7094
17,19,0.5596
17,21,0.5565
18,19,0.8198
18,20,0.7651
19,20,0.7627
19,21,0.8611
19,29,0.6042
20,21,0.7364
20,22,0.5379
21,22,0.6648
22,23,0.574
22,24,0.6194
23,24,0.719
23,26,0.4364
23,29,1.0
24,25,0.3988
24,26,0.3572
25,26,0.8316
25,27,0.7583
26,28,0.7248
27,28,0.7257
27,29,0.5976
28,29,0.4205
