Node1,Node2,Weight
0,19,0.7251
0,2,0.4286
0,18,0.3858
0,14,0.6965
1,2,0.5553
1,7,0.7428
2,3,0.6946
2,7,0.5854
2,11,0.4306
3,4,0.297
3,5,0.5107
4,5,0.7713
4,6,0.6428
4,12,0.3509
5,6,0.6346
5,7,0.6771
5,9,0.4232
5,19,0.6307
6,7,0.6116
6,8,0.3714
6,11,0.6716
6,16,0.7122
7,8,0.8166
7,9,0.8108
7,18,0.3245
8,9,0.4124
8,10,0.703
9,11,0.7028
10,11,0.703
10,12,1.0
10,13,0.7142
12,14,0.8271
13,18,0.7908
14,16,0.7303
14,17,0.5369
15,16,0.7518
15,17,0.4454
16,17,0.5526
17,18,0.5029
17,19,0.6164
